"stimStartTrigger","amount_response.keys","session","gender","age","subject_code"
111,2,"1","Male",25,"sbj_1_behavioral"
111,2,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,2,"1","Male",25,"sbj_1_behavioral"
111,2,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,2,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
111,1,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,1,"1","Male",25,"sbj_1_behavioral"
222,1,"1","Male",25,"sbj_1_behavioral"
111,1,"1","Male",25,"sbj_1_behavioral"
111,1,"1","Male",25,"sbj_1_behavioral"
222,1,"1","Male",25,"sbj_1_behavioral"
111,3,"1","Male",25,"sbj_1_behavioral"
222,3,"1","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
222,2,"2","Male",25,"sbj_1_behavioral"
222,2,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
222,2,"2","Male",25,"sbj_1_behavioral"
222,2,"2","Male",25,"sbj_1_behavioral"
111,2,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
111,3,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
222,1,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
111,1,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
222,3,"2","Male",25,"sbj_1_behavioral"
